f08924a4 AbilityHaste
9c95ade7 GlobalExpGivenOnDeath
91ec4446 GlobalGoldGivenOnDeath
0f7352bb GlobalProperties
de37b388 GlossTexture
6a3827bc Glow
3690bb43 GlowColor
3c2ecbd1 GlowingRingCycleTime
5f094353 GodrayFxBone
ec66d793 Gold
f5a07bed GoldGivenOnDeath
6694c2c1 GoldRadius
b9780647 Graph
9e4fbdcb GridCheckFirstCell
c7a58552 GridItemButton
d975d1a9 GridRegion
c83e08d0 GridSkipFirstCell
583befe1 GroundColor
4b74257f Grounded
5fb91e8c Group
ecf5aab6 GroupDividerGapSize
e3ff8d3b GroupDividerIndex
fb59da5c GroupLink
d0e71bc7 GroupName
af6bcb6d Groups
d54e700a GrowthXScalar
508d56d5 GrowthYScalar
cfbebd9f Halo
8d2fbd10 HangTime
e4c35bdc Hard
e7d6284d HasColorblindData
da9436ac HasDistortion
34270dc1 HasFixedOrbit
e013ab15 HasMaxGrowRange
ed87335c HasPostRotateOrientation
e488d460 Header
30e01d78 HeaderTraKey
3a69585b Heal
07de49ad HealFadeDuration
83696efe HealTimeWindow
08e8541a HealTriggerPercent
6b98ed8f Health
51c83af8 HealthBarData
569b5c9b HealthBarData_AdditionalWorldOffset
6b5e01b4 HealthBarData_CustomUnitBarKey
db23f311 HealthBarData_Scale
f0a3597c HealthBarData_XOffset
96b5978f HealthBarData_YOffset
b48d00a2 HealthBarFullParallax
a02a904b HealthBarHeight
bbb9794b HealthPerTick
e2bc28b7 HealthPercentage
5a03e317 HealthScarringFeedback
22693293 Heat
832c2cd8 HeathBarShake
d5bdbb42 Height
6cb549bd HeightSolver
bbd43eee HideAfterSeconds
6e9e07b3 HideEnemySpellsOnLoadingScreen
be0bee70 HideWithLineIndicator
a19ebeb8 HighlightHealthbarIcons
b0ef060f HighlightTimeoutSeconds
fc2725ce HitFxScale
f3eb6a16 HitRegion
6bf3194e HitRegionElement
fd3d43af HorizonColor
f4867212 HorizontalAlignment
99715a8f HorizontalRulesInSpellTooltips
09dfef56 HotkeyButtonDefinition
c69133b3 HotkeyButtonTextSmall
49b51f19 HotkeyModifierText
c8b4c48c HotkeyQuickCastButtonDefinition
c9a8f32b HoverFrameIcon
dcfb1668 HoverIcon
8fa18585 HoverIndicatorMinimapOverride
36cddb74 HoverIndicatorRadius
4789ec63 HoverIndicatorRadiusMinimap
20faec19 HoverIndicatorRotateToPlayer
ecc8a7d2 HoverIndicatorTextureName
e0346e4b HoverLineIndicatorBaseTextureName
5bb930bf HoverLineIndicatorTargetTextureName
2a062e78 HoverLineIndicatorWidth
53ac2647 HoverLineIndicatorWidthMinimap
bcd200cf HoverStateElements
0fd6a4da HpPerLevel
643cb399 HpPerTick
cc3ef161 HpRegenPerLevel
dc5adca5 HudAnchorPositionFromWorldProjection
bd983bd7 HudLayerAspect
f7467a8d HudLayerDimension
c6d57a29 HudLayerStretchFullscreen
227212f5 HudMuteEvent
3ffe79cc HudUnmuteEvent
03f977bc IceColoration
e64015f0 Icon
089aff69 IconAvatar
e67284f4 IconCircle
241e976e IconCircleScale
bfc599ad IconId
fc31b31f IconMinimap
77274757 IconPath
0f4122b2 IconScale
50ce2e41 IconSize
ac473fef IconSquare
8ddbeb4b IconTexture
f9e1dd39 Icons
37386ae0 Id
8acc5bba IdleAnim
74180b10 IdleAnimationName
84186f3c IdleParticlesEffects
483b1c21 IdleSheenInterval
c1393f47 IgnoreCollisionOnPlacement
2da02c5b IgnoreCombineRules
e8926662 IgnoreQueue
678523a2 IllustrationIcon
a3a2f55a IllustrationIconElement
b35135fa Image
d0f1f287 ImageAssets
c76fd482 ImageInfo
f511a169 ImagePath
1e71b297 Impact
b9516a6f Importance
60f740c4 InEase
2a2265d5 InQueueMusicState
78ba88b4 InactiveStateElements
5033088b InactiveTooltipTraKey
090aa9ab Index
40c6c39e IndicatorType
25a63e0d IndividualBannerOverrides
bb895685 IndividualItemVisibility
cd8310f1 Inertia
7427aeb1 InfoButton
98c52469 Inherits
09dbf7c7 InitialDensityMapAsset
382825a9 InitialSubmeshMouseOversToHide
f4ba5c9e InitialSubmeshShadowsToHide
80b7f78f InitialSubmeshToHide
ff578b94 InkFillRate
1bf2d68f InkFillTime
6abaa1e5 InnerTextureName
228ee863 InputParameters
0b99db0e InputTextLengthMax
8563e50a Intensity
3c8368c0 IntensityScale
c585b541 InterruptibleDamage
50c33eec InterruptibleDisable
36a37f21 InterruptibleImmobilize
cedd8578 Interval
3e073677 Intime
2e3d90b1 Intro
c68db52e InventoryIcon
67a3ba27 InventoryIconDefinition
023e40a9 InventoryIconLarge
e3f7ce73 InventoryIconMaterial
e963940d InventoryIconSmall
4ff2eb71 InventoryIconToOverlay
1bab837a InventoryPanelDefinition
e7edcaee Invisibility
47914bcd InviteButtonDefinition
3311b0c6 InvulnColorblindPalette
8ce9ceb1 InvulnDefaultPalette
5295465d InvulnerabilityHud
72e2ca22 Invulnerable
cb42693f IsActive
c3130dac IsAnimated
abaecc4b IsClickable
518c8edb IsClockwiseArc
943de481 IsColorBindedWithDistance
70f58633 IsConstrainedToRange
2a5f41c5 IsDeathRecapSource
122c020e IsDefault
ddfca826 IsDirectionOriented
6a3e8175 IsDisabled
20281a7d IsDuration
df2b45ce IsEnabled
320475df IsEyeCandy
baa6e0c9 IsFollowingTerrain
27d40903 IsGroundLayer
dc02fdae IsItemToggled
6c8b79ce IsLegacy
2ae335b2 IsLocalOrientation
3040923e IsLocalSpace
f39dc24f IsPlatformEnabled
e09d5ebb IsRandomStartFrame
10552a3d IsRandomStartFrameMult
ec23b45f IsRecipe
5362d6ff IsRelativeColorCharacter
1d09aa26 IsRetired
8d2e2474 IsRotationEnabled
dfe787c4 IsSelected
42bd7f6b IsSingleParticle
34622f3c IsSpectatorOnly
c66ee598 IsTexturePixelated
3559e15b IsUniformScale
60e9fb6d Italic
ae56503a Italics
9f3833e6 Item
6f2c83f4 ItemDetailsScene
6a06a297 ItemFrame
3b2ddd39 ItemGroup
dd0d2e93 ItemIcon
13bddc7b ItemId
565b9057 ItemLinks
4d5e9d13 ItemLists
c78a7297 ItemSets
e010b82a ItemSetsHeaderRegion
05cac88f ItemSetsIconDefinition
81b48934 ItemSetsItemRegion
5c804387 ItemShopEnabled
a47a6adf ItemTags
4948dd56 ItemType
f2443554 ItemUndo
2103d934 ItemVoGroup
3a79338f Items
2717837a ItemsEither
afbfd186 ItemsLeft
fc99a7b2 ItemsPerRow
6ccd463b ItemsRight
6104a27d ItemsRolesPerRow
39648078 IvernPromo
b0b6713c JetChaos
8c437bf8 JetKinetics
d9c60e55 JointForAnimAdjustedSelection
a639a645 KdaObjectivesDisplay
6815c86c Key
40c351da KeyTimes
e44b7382 KeyValues
f94a08cd Keys
c178fac7 KeywordsExcluded
47cc1fe9 KeywordsIncluded
14435bb0 KeywordsRequired
c82fcdcf KillingSpreeCount
0a205249 KnockBackIcon
acfd61e7 KnockUpIcon
c09dbcb8 Knockback
297cd14a Knockup
f69717fd Label
fbda7624 Label1
df6c5fec Label1TraKey
feda7add Label2
5e18ee95 Label2TraKey
e7da7f6f LabelElement
e338cf28 LabelHoverColor
ca0e79b5 LabelTraKey
bdda148a Labels
ee4fc60b LastItemPadding
8fb7915f Layers
9d5bd447 LayoutType
174d75d3 LeagueName
810fe019 Leagues
f221fb31 LeftIcon
a1fb09f0 LeftTextureName
2dddbdeb LegacySkin
ecc0e697 LegacyThemeMusicId
4fd5971c LegacyThemeMusicTransitionId
83d03615 Length
9b99e7dd Level
071a48dc LevelCount
10bc0088 LevelDodge
7b0cab18 LevelFiveIcon
3f5fa588 LevelFourIcon
4afcbc96 LevelOneIcon
77acee55 LevelSpellEffectiveness
e29c2eca LevelThreeIcon
b774f395 LevelTraKey
de9f3f0c LevelTwoIcon
e7c742df Life
5212abee Lifetime
746ce73e LightColor
9ddbf2cf LightColoration
5c6a0e0c LightGridCharacterFullBrightIntensity
6978c513 LightGridCharacterIntensity
7561b09e LightGridFileName
469be1a2 LightGridSize
986a4d5c LightMapColorScale
eb079194 LimitedTournamentPause
53e09c75 LineMissileDelayDestroyAtEndSeconds
db386b37 LineMissileTimePulseBetweenCollisionSpellHits
5cc5ea61 LineStopsAtEndPosition
1d6ab889 LineWidth
df96c96e LingerAcceleration
e9ca82a1 LingerColor
fac5e298 LingerDrag
7d4f3ccc LingerErosionDriveCurve
6861179c LingerRotation0
7d8eb884 LingerScale0
098a338d LingerVelocity
6f54bcfa ListName
4102143e LiveUpdate
19d25270 LoadLuaFilesFromWad
554903f4 LoadingIndicator
8c91139b LoadoutType
46334bc4 LoadoutsButton
88b8380c LoadoutsButtonData
57413af1 LoadoutsIcon
97f7188d Loadscreen
bc8eefad LoadscreenVintage
32c274bd LobbyCloseButton
d4cfe813 LobbyMusicState
c9b58bf5 LocType
49565da9 LocalExpGivenOnDeath
d943628c LocalGoldGivenOnDeath
b5ac73b2 LocalGoldSplitWithLastHitter
5e328c22 LocalPlayerStatusEvents
d368581c LocalThemeMusic
1a9f4554 LocaleName
de214652 LocaleResolutions
2ed25c3a LocaleToOverride
8c9d92f4 LocaleTypes
f7cb2205 LocationName
b471dc2a Locators
7fb0bd0a LockButton
1789de82 LockedHoverIcon
d0fc26f2 LockedIcon
9980070c LockedToEmitter
33b79d3d LogLargePacketGaps
74672198 LogicalParameters
72fdbb19 LogicalParamters
ddef486b Loop
7593992d Looping
6e95967d LootTableButton
ba383df4 Lore1
bd3842ad Lore2
ffd37604 LosNavGridAccurate
864c2489 LostExpText
88d0d9d9 LostRatingText
7d09edbb LowestProjectableHeight
ef60a129 LowestWalkableHeight
3386138c LuaMathExceptionRemoval
898c0cb7 LuaOnMissileUpdateDistanceInterval
2b213e36 LuaVec3ErrorIsError
00758e29 MagicPenetration
87e4a842 MagicRank
b6f318ee MagicResist
022e368c MagicalDamage
71e55eed MagicalDamageCritical
58ffa1ba MagmaColoration
47482875 Magnitude
cad3c552 MainViewPaneDefinition
29fef316 MakeLowerPriorityEventsObsolete
d997830a Mana
541e7ba7 ManaDamage
0e9d23cc ManaHeal
c271cfd4 ManaUiOverride
dfa2efb1 Map
7066e6ca MapAiPresence
dde8c114 MapContainer
dcd3b0f0 MapContainerLocations
58eccfa6 MapInclusions
16c4756a MapName
d91ebe82 MapNameOverride
d65a78b6 MapObjectSkinId
1ee02108 MapParticleName
cc5e808a MapPath
2ed3b95d MapSkins
b73427c1 MapStringId
d7713c7b Margin
58d660b2 MarkedLineSizePx
44bcafc5 MarkedOffsetY
ba74d8b8 MaskTexture
1e23331e MasteryData
674d0562 MatchingCategories
d2e4d060 Material
7ac73608 MaterialController
c50d04d7 MaterialDrivers
24725910 MaterialOverride
332b2c86 MaterialOverrideDefinitions
5a94d948 MaterialOverridePriority
b1e439af MaxAlpha
72824274 MaxAngle
40656ce7 MaxAngleCos
166e1615 MaxAngleFadeCos
070b4922 MaxAngleRangeFactor
427b6d68 MaxDisplayTime
e6915cf6 MaxDistance
80f63e4f MaxIndex
53d4cc0f MaxInstances
a84930fc MaxJointWeights
9d399b92 MaxLifeTime
bb0d33cf MaxNumBlendWeights
fcf7c1cc MaxNumberOfUnits
bbd95186 MaxOffset
43bcebe6 MaxRange
b43f812d MaxScale
fb47bef6 MaxSegmentLength
80ba1308 MaxSize
a7e69fc7 MaxSlowDoesntRoot
8ccddbb3 MaxStack
6810ef40 MaxStacks
d6f82397 MaxViewableQuests
999b31c4 MaxXVelocity
c7091613 MaxYVelocity
d4c45abf MaximumChatScale
58b96400 MaximumGlobalScale
e7ded34d MaximumHoldTime
2c430c12 MaximumMinimapScale
3f1a9424 MaximumPracticeToolScale
c6fa1b5d MaximumRateByVelocity
60a88bed MaximumSaturation
ab25c5d9 MaximumShopScale
35afd776 Medium
37e24810 Members
ac61e7aa MeshDisableBackfaceCull
f83ca5b7 MeshName
19bdf4df MeshRenderFlags
af014196 MeshScale
e70e8dd8 MeshSkeletonName
f60835d2 MeshTextureMultName
38344d14 MeshTextureName
24f208e4 Message
18bcc27b MessageCount
6e341eba MessageDisplayData
dfeb330c MessageDuration
e75d681f MessageVisibleTime
939e7b29 MetaDataTags
49f68636 MeterFilledButtonFadeInDelay
16fdee90 MicVolumeSliderBar
2a96f3b9 MicVolumeText
d893c6b0 MicroTickPerTickData
e5cefbcd MicroTicksBetween
10d642fd MilestoneData
3e3476ec MilestoneDisplayTime
24bbeea0 MilestoneIntroTime
7d9a7fa0 MilestoneOtherIntroTime
2e4f3782 MilestoneSelfIntroTime
cc43d635 MilestoneTraKey
b5ffa4b5 MilestoneTransitionIn
2fea169e MilestoneTransitionOut
5385fe0a Milestones
7db59929 MinAlpha
fb22823e MinAngle
91e64df1 MinAngleCos
270429ab MinAngleFadeCos
1be4b544 MinAngleRangeFactor
7c8c08dc MinAnnouncementDuration
2728b48e MinDisplayTime
b835cf50 MinDistance
187ada21 MinHealth
435c641d MinIndex
c4ecff00 MinLevelUpLevel
bd76926a MinPercentDamageToResetHold
3a140495 MinResolution
4d3600d7 MinScale
c472bf07 MinSegmentCount
782f286a MinXVelocity
33f22b71 MinYVelocity
8a8a009a Mini
daf5dedd MinimapIconOverride
899b4349 MinimumAlpha
742dd4bd MinimumChatScale
b2f634ab MinimumDisplayedRange
04063d46 MinimumGlobalScale
32bfa85c MinimumMinimapScale
9d8131ba MinimumPracticeToolScale
d46d1893 MinimumSaturation
49f5a823 MinimumShopScale
20b578ca MinionFlags
b63f4306 MinionLevelEvents
fe195c64 MinionScoreValue
25d596de MinionsGainBaseMoveSpeedAtTwenty
619396ba Mipped
6563bee8 MiscRenderFlags
03f9495d MissileAccel
ec5cf21a MissileFixedTravelTime
0bb5d83b MissileGravity
1985fb4b MissileGroupSpawners
895034d6 MissileMaxSpeed
4566e290 MissileMinSpeed
90909f24 MissileOwnInstanceVars
165e061e MissileSpeed
862ad05d MissileStartTimeAccountsForCastTime
83398c84 MissileTransitionSpecs
ec323bfe MissionsButton
f855908d ModeInclusions
ca685705 ModeSelectCustomButtonData
e3c0464f ModeSelectDefaultButtonData
6592b854 ModulationFactor
129437e7 ModulePreloads
0b088e38 MomentOfDeathStructures
ad3a9f6c MomentsUi
0c134bb4 MomentumFromHit
7c0e8d36 MonsterDataTableId
c6f52794 Moonlight
13c8cdf7 MoreAccurateBuffTimeouts
0574b158 MoreInfoButton
d84e3078 MouseDownEvent
84b6cf03 MouseUpEvent
184b0014 Move
8074e15c MoveDensity
56063fa2 MoveKick
9f49799f MoveSpeed
e24cb0da MovementCharmIcon
fdfac367 MovementComponent
f07f296f MovementFearIcon
9fe1a486 MovementLossIcon
4ed28677 MovementProjectionX
4dd284e4 MovementProjectionY
747de4f8 MovementSlowIcon
69fa7b5d MovementTauntIcon
3807e16b MovingTowardEnemyActivationAngle
63526f3d Mrows
00c425ad Mtheme
16c9c5b0 MultipleRoundCombinationRule
d7acc6be MultipleRoundCombinationRuleAtEog
f506c7e6 Multiplier
57b05d58 Multistrike
08344846 MultistrikeFast
b8c3b1bd MultistrikeSlow
9f9c4fd4 Music
cf093b49 Mutator
87450a1e MutatorOverrides
de195190 MuteButton
a46f5d3a MuteButtonTemplate
b383187d MuteOption
09b22f41 MythicFrameIcon
976c1c18 MythicPurchaseableVfx
c187dd64 MythicPurchasedVfx
8d39bde6 Name
566f3406 NameOverride
d5ced975 NameText
6194e22e NameTraKey
1f6232c0 NameTranslationKey
a32e6947 NavGridFileName
f7197db9 NavGridPath
6d13b0ea NavigationGridOverlays
39c8d824 Nearsight
a4f18095 Nearsighted
757cbb5b Negate
8c4b1ad8 Neutral
291bad0a NewActorStuckPathfinding
99a7180f NewAsset
4c8d4f60 NewDeathSfx
1064f0af NewLoadingScreen
e05a87fa NewSpellCastFlow
4a5c426d NewSpellCastFlowAutoAttack
4b3bb133 NewSpellCastFlowInstant
fb30e485 NewSpellCastFlowLaunchAttack
2246ace9 NewSpellCastFlowNormal
7cb20329 NewSpellCastFlowSpellCastAns
489b925d NewSpellCastFlowTargetInRange
c4b0866a NewSpellScript
fb0e7215 NewTowerFortification
930970c7 NewTurretLogic
ab522155 NextId
4830d8fb NonDispellable
ada7afdb None
e672d557 NormalMapTexture
edec2e12 NotFacingMovementWhenCasting
095e577f NotificationsButton
1e67b0f1 NumFrames
83fabffb NumFramesMult
fc5a9e01 NumOfInnerAoe
1bd670a0 Number
9e17f690 NumberOfFramesPerRowInAtlas
0a9ead90 NumberStyleTotalAndFormula
e8861857 NumberStyleTotalAndScalingIcons
1d369c29 ObjectPath
d60a2f6a ObjectiveQuest
c0f12fa9 OccludedUnitSelectableDistance
73db4a28 OfferId
14c8d3ca Offset
4a9e98a8 OffsetByBoundingBox
4d9c8cbc OffsetLifeScalingSymmetryMode
67e46266 OffsetLifetimeScaling
1d6c2736 OffsetRegion
7c4feaa2 OldAsset
08b1649c OldMeshName
bc2f6bda Omw
61342fd0 On
dc58e677 OnByDefalt
aae99956 OnByDefault
d6dad55f OnDeathFadeSpeed
f13551e5 OnHit
3a31b3b8 OnKillEvent
568afbd0 OnKillEventForSpectator
9ebb4ce3 OnKillEventSteal
9445308c OnPreDamagePriority
84e7e74a OnSelectionEvent
f6c872b1 OpenTeamPlannerButtonDefinition
533e8106 Operation
19b3476e OptimizedDecalProjection
01b3828f OptimizedShadowBlur
e7e19b94 Option
057f028e OptionScale
ef286ca5 Options
c545bc21 Orientation
4b23dc69 OrientationType
c87d8df5 Other
6ff3efe0 OtherIcon
8e0bb53d OutEase
4ed0f3a5 OutIndex
93f58be6 OutKey
d78001b6 OutSize
8e81576e OutTime
a69fdb94 OutValue
695012cc OutWasFound
227b2783 OutlineBboxExpansion
1352a6d0 OutlineColor
211cfbf4 OutlineSize
46842bc8 OutputParameters
704eff50 Overlays
534a0939 OverriddenFloatingTextTypes
700da2ae OverriddenToggles
c3c64512 OverrideAoeRadius
dddc3025 OverrideBaseRange
54b3b593 OverrideBlendMode
5c7a0332 OverrideBoundingBox
1e79ed09 OverrideCastStaticShadows
7ef17055 OverrideGameplayCollisionRadius
e2b9344f OverrideMaxCastRange
29337825 OverrideMinCastRange
96ae74c7 OverrideParColor
c27dd01b OverrideRadius
3aae4707 OverrideScaleCap
a006fca4 OverrideSpline
6ffc7c75 OverrideUseSpecular
99fa975a Overshoot
5a060901 OvershootDistance
50be1ca6 OverwritePreviousNumber
b796acb9 PackAllDataIntoWadFile
857aeb96 PageLeftButtonDefinition
186d4ed9 PageRightButtonDefinition
5a5786ce PaginateTraitButtonTemplate
45a9af7e PaletteBlendRegister
9e52382f PaletteCount
8aa1ffc1 PaletteDefinition
8bd46035 PaletteSelector
ffa711fb PaletteTexture
056df716 PaletteTextureAddressMode
143f06d1 PalleteSrcMixColor
e9631655 PanelSceneHandle
9f992dc1 ParFadeColor
e6179a4a ParHasRegenText
5cd011f2 ParIncrements
4644cba4 ParMaxSegments
959b5d0b ParName
f218f6ff ParPerLevel
95cb6076 ParRegenPerLevel
ccfa9440 ParType
162498f9 ParamName
d0ab46b8 ParamValues
7c44cff8 ParameterData
48a52ed9 Parameters
215f6853 Params
e78466d2 ParentEnchantmentLink
0e5c4776 ParentItemLink
e3fe3059 ParentList
b696a5fe ParentName
38134732 ParentObject
8a8743bf Particle
5154fb18 ParticleBind
b56e8811 ParticleColorTexture
d37f5c52 ParticleDefinition
37ddb774 ParticleIsLocalOrientation
2a552694 ParticleLifetime
2431d42c ParticleLinger
38897864 ParticleLingerType
ecf1c6bc ParticleName
1b2d7605 ParticleOverride_ChampionKillDeathParticle
f587c10c ParticleOverride_DeathParticle
e7638138 ParticlePath
368b3015 ParticlePreloads
c0390b2d ParticleUvRotateRate
13994637 ParticleUvRotateRateMult
645e1b8b ParticleUvScrollRate
6d97bb4d ParticleUvScrollRateMult
7b7a7318 Pass
def162f3 PassLev1Desc
623cd25c Passes
f317b15b Passive1IconName
980de4fe PassiveData
8867e160 PassiveDescription
099a094e PassiveIsPingable
23627deb PassiveLuaName
c9fa54bd PassiveName
d51e5bab PassiveRange
f4b49738 PassiveSpell
a2bea925 PassiveToolTip
84874d36 Path
a42ed7f4 PathTargetPosition
91bf871f PathfindingCollisionRadius
e4bf75ab PathfindingV2
2032de95 Pathname
7f81a49d PauseOnEnd
3ee7119e PenetrationAppliesToTurrets
a77b63e1 PercentBaseMpRegenMod
5753b933 PercentMpPoolMod
38cc8288 PercentMpRegenMod
b779205d PercentOmnivampMod
1c17c0d1 PercentPhysicalVampMod
9f1386b1 PercentageChance
54d5cc10 PercentageRequired
50a21112 PerceptionBoundingBoxSize
82135982 PerceptionBubbleRadius
99c94704 Period
b60e6a51 PersistsThroughDeath
d31c70d2 PersonalBestIntroTime
f1ed03d1 PhysicalDamage
9343f6f4 PhysicalDamageCritical
695b5cd0 PinButton
68151ff1 PingAbilityIcons
d5eeca48 PingEffectList
7201bb23 PingMuting
bd324ab1 Pitch
b3716497 PitchYawRoll
5c566942 PixelShader
4d529c93 PlacementTextRight
6d8233bf PlatformEnabled
d37fa39a PlatformMask
4d12bc08 PlayAgainButtonDefinition
82b9c360 PlayGameButtonDefinition
8e058751 PlayIdleAnimation
e7188105 PlayStyleDamage
cd50f121 PlayStyleMobility
dc62fe84 PlayStyleUtility
a2364252 PlayerBuffsOffeset
ca229a11 PlayerBuffsOffset
013359d0 PlayerGrid
d0d30c2a PlayerMinion
12d98154 PlayerSlotData
c30f3060 PlusIcon
df1e9ff3 Polymorph
c2c92932 Polymorphed
3023effb PopularIcon
c6247c5d PopupMessages
3018b0da Portrait
f2c13b77 PortraitIcon
934f4e0a Position
8b376269 PostAttackMoveDelay
fa45ef23 PostRotateOrientationAxis
98195bc5 PostponeTargetSpellOrders
9386b547 PracticeToolDps
db586aaf PracticeToolLastHit
49f84484 PracticeToolTotal
0232d383 Prefab
7e6634de PrefabDefinition
ebf6f72a PreferBlndToGds
10210ecf PreferLegacyClocks
06b76093 PreferNonDeterministicRandom
00154906 PreloadData
6faefc1d PreloadResourceName
f510291e Preset
9a05d1e0 PrestigeCrests
0b44452a Price
a97790c4 PrimalFury
bbd81e0d PrimaryAbilityResource
cb9f11d2 PrimaryAbilityResourceBar
56760111 PrimaryQuest
007b14f6 Primitive
94e4e309 Priority
a7084719 ProbabilityTables
053f960b ProfileIcon
719111e1 ProjectionFading
28f08d30 ProjectionYRange
159dd1a8 PromoController
3f3b1eee PromoteAccountButton
52fd4a5b PropName
a819195c ProvisionalTextRight
12afd903 PublicName
0da7c432 PulseDuration
6256421a PulseEndColor
197a43db PulseInterval
f121a509 PulseOffset
baf34791 PulseStartColor
4c8efa77 PulseTime
56dcec2a PurchaseButton
1ea9b65b PurchaseButtonDefinition
fc23f1cc PurchaseIdentities
b2c87912 PurchasedOverlay
416020ee QuadType
9ad55026 Quality
cdbc1b2a QuestComplete
0b13c31a QuestReceived
5b5e3b46 QueueDisplayData
e9790525 QueueId
34e71c29 QueuedOrdersTriggerPreIssueOrder
61e9d8d8 QuickBuyIconDefinition
51b70b0f QuitButtonDefinition
0dba4cb3 Radius
f813120b RadiusScale
7eb2af0c Rage
2d343e53 RandomOffsetMaxX
2c343cc0 RandomOffsetMaxY
d252359d RandomOffsetMinX
d152340a RandomOffsetMinY
2c6400ab RandomStartOffsetMaxX
2b63ff18 RandomStartOffsetMaxY
9f010aa5 RandomStartOffsetMinX
9e010912 RandomStartOffsetMinY
62c2ad1f RangeEnd
704ac699 RangeGrowthDuration
48c5308d RangeGrowthMax
9f76df12 RangeGrowthStartTime
645606ca RangeStart
20404526 RankIconData
9ea4e8e0 RankText
d029f9a7 RareGameIconFull
6af83b9b RareGameIconLit
97d9b2ce RareGameIconUnlit
e498a15a Rarities
4b7f058a Rarity
33064c6a RarityFrameCommon
45172fe2 RarityFrameEpic
c55abad0 RarityFrameLegendary
ae453411 RarityGemOverride
ae839c67 Rate
50b7397d RateByVelocityFunction
388a537c RatedIconData
660ec0f4 Ready
d1248770 ReadyCheckAcceptButton
82eb70fe ReadyCheckDeclineButton
04a9a3e3 RecItems
9ee69c19 RecItemsOnServer
b837c165 RecItemsSwaps
312f4782 RecSpellRankUpInfo
fbe57fe0 RecallDecalId
7722a5c2 RecentlyChangedIcon
35357aba RecievedSoundPath
2c359091 RecipeItemLinks
8dcbab01 RecipeItems
74fda2ac Recommended
64806c29 ReconnectScriptsWhilePaused
f353d236 RecordAsWard
0c263131 RedTeamElementSelectedColor
af1fcb6f RedeTeamElementUnselectedColor
92fc4077 ReduceClientCameraReplication
3f7567cd ReflectionDefinition
130d610b ReflectionFresnel
caa4adcf ReflectionFresnelBlue
561f4fea ReflectionFresnelColor
cf0fb7aa ReflectionFresnelGreen
25e2e9fa ReflectionFresnelRed
db40d44a ReflectionMap
85a34efd ReflectionMapTexture
11bc7060 ReflectionOpacityDirect
173a5bb6 ReflectionOpacityGlancing
65422199 RefreshExisting
38a4dd49 RegaliaCrest
a4260da0 RegaliaCrown1
a7261259 RegaliaCrown2
a62610c6 RegaliaCrown3
a926157f RegaliaCrown4
d96b2535 RegaliaSplit1
d66b207c RegaliaSplit2
d76b220f RegaliaSplit3
021066de RegaliaTrim
031afe7d Region
cade8247 RegionsFilename
2d6871c0 Register
fc6183f5 RelativeColorSwapTable
4e61e3d4 RelativeOffsetMax
3c4e3fc6 RelativeOffsetMin
f762be03 RemoveNullRepMrgTemp
5a4c5648 RenderComponent
c58a8f74 RenderFlags
a169e078 RenderGridSize
c2ad8ed4 RenderMiniMapToTexture
76fb6570 RenderPhaseOverride
729fc939 RenderScale
3bf05b38 RenderUiPingMenu
357d631c RenderingMode
86300f61 RepeatCount
faadcc70 RequiredItemLinks
55783ab4 RequiredItems
8f1c5d53 RerollButton
58322317 ResizeDragRegion
11413a17 ResolutionData
d78560b4 Resolutions
d2f58721 ResourceMap
be61dfc0 RestoreLuaStackAfterException
176acc5e RestorePurchaseButton
0a377624 Result
5e3d1c98 Resurrecting
450192dc ResurrectingAlpha
93ee4daa RetryFailedSpellLoad
9aa1ff1e ReverbPreset
d9ecc0a5 RiftHeraldUpdate
e9c98281 RigPoseModifierData
7a865b10 RightIcon
99fce18f RightTextureName
98bc5cde Roles
a55a6b7c RolloverEvent
20fd0e45 Root
bbf7c1da RootNodes
a0c57a4c Rooted
21ac415f Rotation
712b01bd Rotation0
702b002a Rotation1
faa9aa58 RotationIsEnabled
0b6fe52f RotationOverride
2a37b398 Rows
01028ccd RtpcName
b4b9db47 RunPlaybackSpeedForTransitions
cf33bdd7 SamplerData
02e7fb4c SamplerName
0a6f0eb5 SamplerValues
1266affc SaveButton
82971c71 Scale
d4e17a53 Scale0
d3e178c0 Scale1
0f693adc ScaleAlongMovementVector
468676c0 ScaleBias
e6095c03 ScaleBirthScaleByBoundObjectHeight
382a41ae ScaleBirthScaleByBoundObjectRadius
95111b29 ScaleBirthScaleByBoundObjectSize
34c57a7f ScaleCap
f55e1472 ScaleDynamicallyWithAttachedBone
1bb088d8 ScaleEmitOffsetByBoundObjectHeight
7a7d3e75 ScaleEmitOffsetByBoundObjectRadius
c0bf561e ScaleEmitOffsetByBoundObjectSize
0e5b32e1 ScaleOverride
07996271 ScalePlaySpeedNameAnimation
8658b70c ScaleSpeed
a7bf26c3 ScaleStart
f9c34fa6 ScaleUpFromOrigin
a02e81c2 Scaling
55e4bf6c ScalingConfig
10d1460c ScanWidthOverride
2063cb13 Scene
61a1934d SceneChat
aae83c5b SceneData
b0d0037c SceneLayer
87ef0b13 SceneTransitionIn
8570b380 SceneTransitionOut
6683355b ScissorRegionElement
d22f9095 Score
788c1f81 ScoreDarkStar
c96dae5d ScoreDisplayQuest
21de82da ScoreProject0
22de846d ScoreProject1
065faaf6 ScreenHeight
631b482e ScreenOffset
d2538e5a ScriptData
88668caa ScriptDataObjectLists
